Legal Name,Morningstar Category,ISIN,Sharpe Ratio 1 Yr,Sharpe Ratio 3 Yr,Standard Deviation 1 Yr,Standard Deviation 3 Yr,Standard Deviation 5 Yr,Annual Return 2021,Annual Return 2020,Annual Return 2019,Annual Return 2018,Annual Return 2017,1-Year SIP Return %,2-Year SIP Return %,3-Year SIP Return %,5-Year SIP Return %,AAA,Yield to Maturity,Modified Duration,% Assets in Top 10 Holdings,Total Number of Holdings,Turnover Ratio,Annual Report Net Expense  Ratio,Total Assets ?MM,Analyst Rating,Alpha 1 Yr,Alpha 3 Yr,Alpha 5 Yr,Beta 1 Yr,Beta 3 Yr,Beta 5 Yr,Deferred Load
Indiabulls Blue Chip Fund Regular Plan Growth,India Fund Large-Cap,INF666M01162,-0.03,0.49,14.38,21.48,18.71,17.45,8.15,12.01,-1.37,33.36,5.56,10.97,14.56,11.03,-,-,-,58.19,44,60.45,2.43,984.69,-,-3.51,-4.88,-3.82,0.96,0.96,0.96,Multiple
Invesco India largecap Fund Growth,India Fund Large-Cap,INF205K01304,-0.06,0.65,14.93,21.60,18.52,32.53,14.05,10.50,-0.44,28.34,2.43,13.14,18.17,14.20,-,-,-,54.37,44,34.00,2.47,"6,843.46",-,-4.09,-1.33,-1.33,0.99,0.95,0.94,0.00
JM Large Cap Fund Growth,India Fund Large-Cap,INF192K01601,0.10,0.82,14.35,13.00,11.10,23.20,18.11,4.90,0.80,20.86,4.92,11.58,15.38,12.43,-,-,-,53.11,32,125.65,2.46,495.15,-,-1.63,1.88,-0.21,0.95,0.55,0.54,Multiple
Kotak Bluechip Growth,India Fund Large-Cap,INF174K01153,-0.05,0.75,13.67,20.97,18.37,27.74,16.37,14.20,-2.11,29.18,5.67,13.54,19.39,15.57,-,-,-,45.08,63,32.76,1.97,"47,032.18",Neutral,-3.67,0.39,-0.66,0.92,0.95,0.95,Multiple
L&T India Large Cap Fund Growth,India Fund Large-Cap,INF677K01155,-0.05,0.61,15.43,21.38,18.54,24.49,13.06,13.25,-1.96,29.52,7.06,13.06,17.54,13.70,-,-,-,52.21,51,33.64,2.48,"7,165.69",-,-4.13,-2.43,-2.32,1.04,0.96,0.96,Multiple
LIC MF Large Cap Fund Growth,India Fund Large-Cap,INF767K01105,-0.20,0.63,14.40,19.94,17.54,23.77,13.81,14.99,0.72,26.77,1.93,11.12,15.74,13.35,-,-,-,46.83,52,27.07,2.27,"6,961.74",-,-5.91,-1.49,-1.59,0.96,0.87,0.88,Multiple
Mahindra Manulife Large Cap Pragati Yojana Regular Growth,India Fund Large-Cap,INF174V01697,0.01,0.68,13.38,20.52,-,29.69,11.89,-,-,-,3.22,13.24,18.19,-,-,-,-,52.00,50,70.53,2.51,"1,797.38",-,-2.82,-0.81,-,0.89,0.92,-,Multiple
Mirae Asset Large Cap Fund Regular Growth,India Fund Large-Cap,INF769K01010,-0.08,0.66,13.24,21.36,18.49,27.74,13.70,12.73,-0.64,38.58,3.77,12.56,18.22,14.56,-,-,-,52.97,165,20.42,1.23,"3,29,133.23",Bronze,-3.90,-1.52,-0.97,0.89,0.96,0.96,Multiple
Nippon India Large Cap Fund - Growth,India Fund Large-Cap,INF204K01562,0.50,0.68,15.62,24.62,21.36,32.37,4.91,7.25,-0.20,38.42,14.71,22.16,24.41,16.37,-,-,-,54.46,66,93.79,1.88,"1,17,244.77",Bronze,4.34,-0.81,-1.46,1.04,1.08,1.08,Multiple
PGIM India Large Cap Fund Growth,India Fund Large-Cap,INF663L01GW4,-0.45,0.55,13.12,20.33,17.71,20.97,13.33,14.52,-3.61,28.16,2.83,8.76,14.48,11.74,-,-,-,56.54,47,201.04,2.43,"3,865.89",-,-8.67,-3.58,-3.17,0.86,0.91,0.91,Multiple
PGIM India Large Cap Fund Wealth Plan Growth Option,India Fund Large-Cap,INF223J01267,0.19,0.36,13.76,12.21,12.63,-,-,-,-3.55,28.46,-,-,-,-,-,-,-,56.54,47,201.04,2.43,"3,865.89",-,-0.89,-2.51,0.42,0.90,0.95,0.93,Multiple
Quant Large Cap Fund Regular Growth,India Fund Large-Cap,INF966L01AW4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00
SBI Bluechip Fund Regular Growth,India Fund Large-Cap,INF200K01180,0.14,0.69,13.35,22.14,19.12,26.08,16.34,11.64,-4.11,30.23,8.12,14.96,20.24,15.32,-,-,-,46.83,59,11.54,1.80,"3,27,731.32",-,-1.13,-0.76,-1.75,0.91,0.99,0.98,Multiple
Sundaram Large Cap Fund Reg Gr,India Fund Large-Cap,INF903JA1IZ3,-0.12,-,12.90,-,-,27.48,-,-,-,-,5.38,13.37,-,-,-,-,-,58.84,58,65.90,2.31,"30,623.97",-,-4.35,-,-,0.87,-,-,Multiple
Tata Large Cap Fund Growth,India Fund Large-Cap,INF277K01931,0.00,0.63,14.48,21.94,19.23,32.67,8.33,12.11,-3.65,29.54,4.36,14.46,19.24,14.34,-,-,-,49.06,58,35.72,2.37,"12,579.01",-,-3.12,-2.12,-2.23,0.98,0.98,0.99,Multiple
Taurus Largecap Equity Fund - Growth,India Fund Large-Cap,INF044D01773,0.28,0.59,20.36,21.42,18.50,17.96,10.15,8.51,-6.22,25.63,19.23,17.97,19.80,13.72,-,-,-,52.42,30,112.64,2.60,332.81,-,1.15,-2.52,-3.92,1.37,0.94,0.94,Multiple
UTI Mastershare Unit Regular Plan Growth,India Fund Large-Cap,INF789F01976,-0.10,0.72,14.10,20.84,18.07,29.56,18.67,10.69,-0.39,29.57,2.73,12.69,18.91,15.08,-,-,-,47.27,56,11.35,1.95,"1,01,362.84",-,-4.38,-0.11,-0.40,0.94,0.94,0.94,Multiple
Union Largecap Fund Regular Growth,India Fund Large-Cap,INF582M01CQ5,-0.05,0.66,14.09,21.27,18.28,28.56,15.07,12.04,-5.06,-,3.14,12.73,18.14,13.89,-,-,-,55.17,43,31.68,2.54,"2,339.60",-,-3.77,-1.57,-2.56,0.94,0.96,0.95,Multiple
